,name,geometry,City,Median_Rent
15,Nob Hill,"MULTIPOLYGON (((-122.4106228709999 37.79088069600004, -122.4122661869999 37.79067278300005, -122.4139158789999 37.79046311400003, -122.4155590859999 37.79025429800004, -122.4172047989999 37.79004514000007, -122.4188426519999 37.78982993400007, -122.4190362109999 37.79078805300009, -122.4192217369999 37.79170401500005, -122.4194017839999 37.79259308200005, -122.4195791229999 37.79346692800004, -122.4197527199999 37.79435377900006, -122.4199356359999 37.79523766000005, -122.4201095249999 37.79609456800006, -122.4199614859999 37.79612664800004, -122.4168268989999 37.79651164400008, -122.4166527549999 37.79567005100006, -122.4150054549999 37.79587731800007, -122.4133661829999 37.79608355200008, -122.4117189379999 37.79629076400005, -122.4100759699999 37.79649276100008, -122.4098987519999 37.79561642400006, -122.4097215789999 37.79473682400004, -122.4095410479999 37.79385192800004, -122.4079033019999 37.79406029700004, -122.4077271859999 37.79317830100007, -122.4075189509999 37.79225116300006, -122.4073229279999 37.79129813500003, -122.4071488039999 37.79036631100007, -122.4104332449999 37.78995142300005, -122.4106228709999 37.79088069600004)))",San Francisco,4645.0
16,Marina,"MULTIPOLYGON (((-122.4443186189999 37.79879024500008, -122.4448278649999 37.79883962800005, -122.4459653719999 37.79958091100008, -122.4471305729999 37.80038582300006, -122.4476132789999 37.80032370100008, -122.4477614529999 37.80049532400005, -122.4478870459999 37.80135890700006, -122.4483268529999 37.80141635200005, -122.4486921479999 37.80152673200007, -122.4490325599999 37.80169367600007, -122.4492835279999 37.80187201500007, -122.4496211759999 37.80224726600005, -122.4498153889999 37.80268182600008, -122.4498511169999 37.80314202700004, -122.4497159489999 37.80361230700004, -122.4494908249999 37.80395042200007, -122.4492594679999 37.80417330300008, -122.4490701099999 37.80430869900005, -122.4487345669999 37.80448175400005, -122.4483984119999 37.80459236400009, -122.4487284819999 37.80670159800007, -122.4482867329999 37.80682142300009, -122.4471807719999 37.80747716100007, -122.4436849939999 37.80772170900008, -122.4426260869999 37.80800375500007, -122.4405279769999 37.80836069400004, -122.4400321829999 37.80883285200008, -122.4399281149999 37.80877905300008, -122.4402861139999 37.80821557000007, -122.4404555079999 37.80813917700004, -122.4402475349999 37.80701895200008, -122.4375148639999 37.80737229500005, -122.4357529429999 37.80756009000004, -122.4355553099999 37.80690742700006, -122.4341586719999 37.80696731700004, -122.4338347189999 37.80577775800003, -122.4323400559999 37.80597805700006, -122.4322192159999 37.80537159700009, -122.4320907159999 37.80519954400006, -122.4320491219999 37.80512250900006, -122.4316793689999 37.80326673600007, -122.4251095209999 37.80414584500005, -122.4245383249999 37.80130371900009, -122.4344046979999 37.80005154800006, -122.4426478979999 37.79900005000007, -122.4443186189999 37.79879024500008)))",San Francisco,4654.0
17,Telegraph Hill,"MULTIPOLYGON (((-122.4085212559999 37.80529997600007, -122.4053572409999 37.80569594300005, -122.4049862439999 37.80383267000008, -122.4033487099999 37.80403012500005, -122.4024206659999 37.79938214000003, -122.4056452679999 37.79896930800004, -122.4060239139999 37.80083450800004, -122.4075844439999 37.80063802000006, -122.4085212559999 37.80529997600007)))",San Francisco,4526.0
18,Downtown / Union Square,"MULTIPOLYGON (((-122.4023804019999 37.79096861000005, -122.4019604339999 37.78892217000003, -122.4020657299999 37.78872115200005, -122.4058310109999 37.78574398800004, -122.4089521589999 37.78328785200006, -122.4091417099999 37.78351908500008, -122.4104332449999 37.78995142300005, -122.4023804019999 37.79096861000005)))",San Francisco,3692.0
19,Tenderloin,"MULTIPOLYGON (((-122.4098740169999 37.78714914200009, -122.4091417099999 37.78351908500008, -122.4089521589999 37.78328785200006, -122.4125122549999 37.78047851100007, -122.4131480489999 37.78099378100006, -122.4136763609999 37.78092685400009, -122.4138656039999 37.78186333900004, -122.4171456119999 37.78144749400008, -122.4173388799999 37.78237894200004, -122.4206382489999 37.78196076500006, -122.4213933069999 37.78568580200005, -122.4098740169999 37.78714914200009)))",San Francisco,3323.0
20,Civic Center,"MULTIPOLYGON (((-122.4125122549999 37.78047851100007, -122.4219412469999 37.77303605000009, -122.4221068569999 37.77316732000008, -122.4222293679999 37.77315174300008, -122.4237309839999 37.78061162100005, -122.4204395179999 37.78103084100007, -122.4206382489999 37.78196076500006, -122.4173388799999 37.78237894200004, -122.4171456119999 37.78144749400008, -122.4138656039999 37.78186333900004, -122.4136763609999 37.78092685400009, -122.4131480489999 37.78099378100006, -122.4125122549999 37.78047851100007)))",,
21,Hayes Valley,"MULTIPOLYGON (((-122.4233540249999 37.77874737100007, -122.4225980419999 37.77502069600007, -122.4291783429999 37.77418142200008, -122.4293658599999 37.77511117900008, -122.4310115389999 37.77490283000009, -122.4315746419999 37.77769992400005, -122.4233540249999 37.77874737100007)))",San Francisco,4401.0
22,Alamo Square,"MULTIPOLYGON (((-122.4317632199999 37.77863203700008, -122.4310115389999 37.77490283000009, -122.4376106239999 37.77406164500007, -122.4383655009999 37.77779418800009, -122.4317632199999 37.77863203700008)))",San Francisco,4341.0
23,Panhandle,"MULTIPOLYGON (((-122.4513576539999 37.77517512000009, -122.4464708299999 37.77580159100006, -122.4381770479999 37.77685588800006, -122.4374229389999 37.77313349200006, -122.4457166649999 37.77208039300007, -122.4522417779999 37.77122982600008, -122.4537819979999 37.77102194700007, -122.4539024549999 37.77105383700007, -122.4542851169999 37.77289517700007, -122.4526238439999 37.77310613200007, -122.4528128189999 37.77404069100004, -122.4511632989999 37.77424873300004, -122.4513576539999 37.77517512000009)))",San Francisco,4432.0
24,Haight Ashbury,"MULTIPOLYGON (((-122.4483896859999 37.76886462800007, -122.4533522879999 37.76824602400006, -122.4539024549999 37.77105383700007, -122.4537819979999 37.77102194700007, -122.4457166649999 37.77208039300007, -122.4440243069999 37.77229528900006, -122.4434614409999 37.76949699700009, -122.4451059819999 37.76928422800006, -122.4447315399999 37.76742587500007, -122.4480131599999 37.76700668000007, -122.4483896859999 37.76886462800007)))",San Francisco,4106.0
25,Lower Haight,"MULTIPOLYGON (((-122.4376106239999 37.77406164500007, -122.4293658599999 37.77511117900008, -122.4291783429999 37.77418142200008, -122.4225980419999 37.77502069600007, -122.4222293679999 37.77315174300008, -122.4221068569999 37.77316732000008, -122.4219412469999 37.77303605000009, -122.4233967609999 37.77188564400006, -122.4235424149999 37.77200111900004, -122.4236477389999 37.77221677100005, -122.4237116599999 37.77244242900008, -122.4237970209999 37.77285680100005, -122.4237583789999 37.77295739200008, -122.4255120559999 37.77273431100008, -122.4288021019999 37.77231584600008, -122.4286140429999 37.77138332900006, -122.4368489429999 37.77034289600005, -122.4376106239999 37.77406164500007)))",,
26,Mint Hill,"MULTIPOLYGON (((-122.4288021019999 37.77231584600008, -122.4237583789999 37.77295739200008, -122.4237970209999 37.77285680100005, -122.4237116599999 37.77244242900008, -122.4236477389999 37.77221677100005, -122.4235869579999 37.77208113300009, -122.4235424149999 37.77200111900004, -122.4233967609999 37.77188564400006, -122.4233418779999 37.77169704100004, -122.4233054759999 37.77164046400009, -122.4232383609999 37.77155237800008, -122.4233348959999 37.77147797100008, -122.4233012299999 37.77144152700004, -122.4231459649999 37.76982082400008, -122.4245810889999 37.76973469600006, -122.4258291379999 37.76965977900005, -122.4262003289999 37.76961867500006, -122.4263094389999 37.76960259700007, -122.4266839779999 37.76953362600005, -122.4282199139999 37.76944082900008, -122.4288021019999 37.77231584600008)))",,
27,Duboce Triangle,"MULTIPOLYGON (((-122.4368489429999 37.77034289600005, -122.4286140429999 37.77138332900006, -122.4282199139999 37.76944082900008, -122.4266839779999 37.76953362600005, -122.4265151689999 37.76956471200009, -122.4263094389999 37.76960259700007, -122.4286571629999 37.76773488700007, -122.4289485669999 37.76750445900007, -122.4308243949999 37.76601373000005, -122.4310254709999 37.76586798600005, -122.4330744709999 37.76419571200006, -122.4351879619999 37.76267070700004, -122.4357942129999 37.76905845300007, -122.4362041799999 37.76975078400005, -122.4362659689999 37.76978031800007, -122.4364555969999 37.77000253000006, -122.4366671259999 37.77011770400009, -122.4367470849999 37.77016389700009, -122.4368489429999 37.77034289600005)))",San Francisco,4441.0
28,Cole Valley,"MULTIPOLYGON (((-122.4533522879999 37.76824602400006, -122.4483896859999 37.76886462800007, -122.4476346279999 37.76513873400006, -122.4525693529999 37.76450936000003, -122.4529470339999 37.76637407300007, -122.4529960809999 37.76647606000006, -122.4533522879999 37.76824602400006)))",,
29,Rincon Hill,"MULTIPOLYGON (((-122.3892962829999 37.79138835400005, -122.3888079089999 37.79097780400008, -122.3882189839999 37.78999592300005, -122.3857304999999 37.79097357400008, -122.3855068159999 37.79054579900009, -122.3876073649999 37.78978746100006, -122.3873290559999 37.78931867200004, -122.3853237699999 37.78978777500004, -122.3851063789999 37.78932037900006, -122.3871883059999 37.78877373400007, -122.3870490439999 37.78822882400004, -122.3852424529999 37.78851610000004, -122.3851317799999 37.78812575100005, -122.3873814149999 37.78772043600009, -122.3874070039999 37.78724110800005, -122.3876696479999 37.78717474700005, -122.3877948899999 37.78709723900005, -122.3883931719999 37.78710505800007, -122.3885884259999 37.78704944700007, -122.3887794349999 37.78689867900005, -122.3896366409999 37.78622377600004, -122.3936180759999 37.78307785400006, -122.3951606219999 37.78431101100006, -122.3967051779999 37.78554213000007, -122.3900123469999 37.79082694800007, -122.3893827469999 37.79131570100009, -122.3892962829999 37.79138835400005)))",,
30,South Beach,"MULTIPOLYGON (((-122.3845200669999 37.78739009600008, -122.3843507149999 37.78571914100007, -122.3870935459999 37.78553301500006, -122.3875650919999 37.78545778600005, -122.3876310419999 37.78486468500006, -122.3854586169999 37.78499351000005, -122.3854147139999 37.78460685500005, -122.3872216769999 37.78450164100008, -122.3876740729999 37.78439645900005, -122.3877098339999 37.78387583800009, -122.3862876049999 37.78395928800006, -122.3862366189999 37.78340582700008, -122.3873769499999 37.78333965300004, -122.3877516249999 37.78324635500007, -122.3877767499999 37.78286788100007, -122.3874836359999 37.78279248600006, -122.3847490539999 37.78293890100008, -122.3846886729999 37.78253369800007, -122.3875282539999 37.78234479400004, -122.3877879519999 37.78227487000004, -122.3877549429999 37.78179580000005, -122.3855463089999 37.78193291000008, -122.3848583229999 37.78179935200006, -122.3848183849999 37.78125493600004, -122.3847323899999 37.77932942400008, -122.3847662419999 37.77897895400008, -122.3852926179999 37.77845107200005, -122.3875153839999 37.77673655300003, -122.3898211559999 37.77659077500005, -122.3900485099999 37.77649985400006, -122.3902145669999 37.77672344100006, -122.3904282799999 37.77700800500008, -122.3918405249999 37.77812569700006, -122.3958434989999 37.78132125600007, -122.3936180759999 37.78307785400006, -122.3896366409999 37.78622377600004, -122.3885884259999 37.78704944700007, -122.3883931719999 37.78710505800007, -122.3882236849999 37.78710284300007, -122.3877948899999 37.78709723900005, -122.3876696479999 37.78717474700005, -122.3875099869999 37.78722218100006, -122.3874070039999 37.78724110800005, -122.3845200669999 37.78739009600008)))",San Francisco,4556.0
31,South of Market,"MULTIPOLYGON (((-122.3958134209999 37.79115280800005, -122.3927228329999 37.78868666100004, -122.3967051779999 37.78554213000007, -122.3936180759999 37.78307785400006, -122.3958434989999 37.78132125600007, -122.3927497859999 37.77885171600008, -122.4016566799999 37.77181712500004, -122.4032050809999 37.77305110100008, -122.4047484929999 37.77428104000006, -122.4097358889999 37.77034851600007, -122.4084363199999 37.76931803300005, -122.4081431389999 37.76924605200009, -122.4084521779999 37.76916314500005, -122.4088408249999 37.76913568300006, -122.4108137939999 37.76905345300008, -122.4108312379999 37.76923173300008, -122.4108733699999 37.76932059800004, -122.4109310879999 37.76941119100007, -122.4133852379999 37.76950200400006, -122.4155770149999 37.76959116000006, -122.4177531929999 37.76981507800008, -122.4200083199999 37.77011144800008, -122.4202271499999 37.76993608600009, -122.4215825339999 37.76991775800008, -122.4231459649999 37.76982082400008, -122.4233012299999 37.77144152700004, -122.4233348959999 37.77147797100008, -122.4232383609999 37.77155237800008, -122.4233418779999 37.77169704100004, -122.4233967609999 37.77188564400006, -122.4219412469999 37.77303605000009, -122.4162917009999 37.77749384200007, -122.4125122549999 37.78047851100007, -122.4089521589999 37.78328785200006, -122.4073370399999 37.78456014100004, -122.4020657299999 37.78872115200005, -122.4005030959999 37.78745049800006, -122.3958134209999 37.79115280800005)))",San Francisco,4076.0
32,Showplace Square,"MULTIPOLYGON (((-122.4047484929999 37.77428104000006, -122.3950605449999 37.76654457600006, -122.4075342289999 37.76578329800009, -122.4078527719999 37.76895140900007, -122.4080072029999 37.76924400900003, -122.4084363199999 37.76931803300005, -122.4097358889999 37.77034851600007, -122.4047484929999 37.77428104000006)))",,
33,Mission Bay,"MULTIPOLYGON (((-122.3937297949999 37.76402134200004, -122.3938757799999 37.76561377900003, -122.3950605449999 37.76654457600006, -122.4016566799999 37.77181712500004, -122.3927497859999 37.77885171600008, -122.3904282799999 37.77700800500008, -122.3900485099999 37.77649985400006, -122.3898211559999 37.77659077500005, -122.3875153839999 37.77673655300003, -122.3873166779999 37.77658286300004, -122.3873108169999 37.77631910100007, -122.3871032279999 37.77632554400009, -122.3870817359999 37.77610353600005, -122.3850040419999 37.77633013700006, -122.3848276479999 37.77539430300004, -122.3869962439999 37.77508194100005, -122.3869225389999 37.77432803600004, -122.3818143739999 37.77461522400006, -122.3814558259999 37.77191749200006, -122.3847877349999 37.77337273100005, -122.3867598789999 37.77327255500006, -122.3855539599999 37.77215419100008, -122.3852863889999 37.77163440100009, -122.3855585289999 37.77063724200008, -122.3831554009999 37.76970889000006, -122.3833756099999 37.76933266200007, -122.3855694819999 37.77017972400006, -122.3847876959999 37.76865661300008, -122.3851456549999 37.76814783100008, -122.3847005629999 37.76817098300006, -122.3838815539999 37.76812172600006, -122.3838428159999 37.76774521000004, -122.3824567289999 37.76783279200004, -122.3824403019999 37.76769176500005, -122.3849009429999 37.76753627500005, -122.3848470669999 37.76701265000008, -122.3828552979999 37.76713851500006, -122.3828009259999 37.76678380600003, -122.3858606209999 37.76659947600007, -122.3859147279999 37.76628453900008, -122.3864704329999 37.76527801500004, -122.3864823599999 37.76439919300009, -122.3866005779999 37.76425873600004, -122.3869438749999 37.76419655600006, -122.3877841209999 37.76442351800006, -122.3879168109999 37.76437937000009, -122.3937297949999 37.76402134200004)))",San Francisco,4241.0
